Hotel,Reviews
40 Berkeley Hostel,"We booked this hostel because it was the cheapest place in the Center area in boston. When we got there there was a mixup with our reservation and they took care of it right away. Excellent customer service at the front desk, very polite and helpful, answered all our questions. The room was a twin on the sixth floor, very... More"
40 Berkeley Hostel,"Good place to stay for a few days. Clean rooms, helping staff and clean bathrooms. The common area is nice and fun with a pool table and a small cinema room. Its the best you can get in Boston for this price. Good place as well. Might not fit a family but would be great if you are coming with... More"
40 Berkeley Hostel,Buena localizaciï¿½ï¿½n
40 Berkeley Hostel,"The location is perfect for getting to all of the sections and access to subway stops. Easy to figure out and navigate from Berkley location. One must assume that you won't have all the luxury amenities as the Courtyard Marriott. Taking this into consideration my negative points were was the quality of the beds, the pillow was the worst I... More"
40 Berkeley Hostel,I was traveling for work and there was an issue at our hotel so I scrambled for an alternative solution and found 40 Berkeley. The lobby was clean and comfortable and the staff was friendly. I liked that bed linens and towels were included in the room price so I didn't have to pack these. The rooms are very bare... More
40 Berkeley Hostel,"We arrived to Boston on Amtrak late (11pm) and hustled a car to the hostel. We were quickly checked in and put in a larger room as the 2 bed unit we reserved was unavailable. The room was sparse but provided the beds we needed and a mini fridge as a bonus. With no A/C, we used the provided fans... More"
40 Berkeley Hostel,"Spent 3 nights here in July and was pretty much as expected - basic accommodation (with wardrobe, double bed, no A/C, shared restrooms), decent communal facilities (big lounge, TV room, free wi-fi, elevators, water fountains, etc). The hotel/hostel is situated within 1-2 kilometres of all the things you might want to do see - shops, restaurants, local points of... More"
40 Berkeley Hostel,"The lobby is nicer than the rooms, which are very basic. The shared bathrooms are also pretty old-fashioned. It's fine if you just need a cheap base for a visit with no frills. Free coffee 7am-5pm."
40 Berkeley Hostel,ï¿½ï¿½ï¿½ Excellent place to stay. Good Location and very nice staff.
40 Berkeley Hostel,Paula audited the room's inhabitants when coming in after getting dinner.  I have never been grilled so hard upon trying to just go inside and get a night of sleep.  No A/C is brutally hot.
40 Berkeley Hostel,"40 is very comfortable and have a good location to go by foot to many interesting points in Boston. Nice rooms, and a very warm and festive atmosphere. The bathroom is shared, so it gives the illusion of being in a student dorm which is part of the charm. The lobby is very nice place to be. Good internet access.... More"
40 Berkeley Hostel,"A hostel, not a hotel. Located in an old building with original style. Staff was nice and rooms were clean. However, given shared bathrooms, rooms being furnished only very basically and breakfast was not available, the price was very high. Also we had a fire alarm during night twice and in general it was bit noisy (due to the street... More"
40 Berkeley Hostel,This hostel hotel seems really good for its value. Well refurbished. Warm. Spotless. Lots of self service facilities and communal spaces. Friendly and very helpful staff. About a third of the cost of any formal hotels near by. I really cannot understand the so negative reviews unless it was a reflection about how expensive Boston is. Deserves it's lonely planet... More
40 Berkeley Hostel,"Hello, just got back from another stay at the Berkeley Boston. still great staff, affordable, obviously great location. Our 3rd stay was only disappointed that no breakfast was served.Previously a wonderful cafeteria was open for buffet breakfast with all you could need. I realize this is a great expense, however it did go from all to almost nothing! Coffee/tea provided.... More"
40 Berkeley Hostel,They are not serving breakfast anymore. A big bummer for me as I was hoping to save some expenses on breakfast. My room can be too warm from the heater and I need to open the windows during the day and night to keep the room cool. I am from Singapore so I am not a big fan of too... More
40 Berkeley Hostel,"Firstly, you must know that this is a hostel and by no means is a hotel suitable for families or older couples. Like many others we decided to take a chance based purely on the affordable price. I certainly have no bad feelings against this hostel as I believe they probably provide a very good service as a low income... More"
40 Berkeley Hostel,"I was only here for 2 nights but I really enjoyed my stay and thought I got a great deal for my money! It's in a great location as your aren't far from anything, fenway, sports bars, restaurants, the station, park and the waterfront to name a few. I stayed in a twin room with a shared bathroom. The rooms... More"
40 Berkeley Hostel,"One of the cheapest places to stay at in the city for a weekend. It is a hostel, so obviously it's not the most beautiful and accommodating place to stay, but I will say it was a lot better than what I thought it would be. We stayed on a relatively warm weekend, so being without AC wasn't as bad... More"
40 Berkeley Hostel,"The reason we chose to stay at 40 Berkeley was for the convenient location (2 blocks from the orange subway line and 30 minute walk to the Boston Common/downtown area) and reasonable price compared to other hotels and hostels in Boston (130/night for room with double bed and shared bathroom). The positive: The location served us well, as we were... More"
40 Berkeley Hostel,"My husband and I stayed here for two nights in June. Although I did find it a little expensive for what it was (180 / night), this was one of the least expensive options we could find for staying in Downtown Boston. The rooms were standard, but clean. As many travellers have indicated, the building is dated, so many rooms... More"
40 Berkeley Hostel,"For the price payed, this hostel is located near a T stop(5 minutes walk) which gives you acces to all the city. Very affordable compared to the hotels downtown. Be sure to ask for a newly renovated room. We got a renovated room(2nd floor, 1full bed). Bed was comfy and room was clean. Lobby staff was welcoming and nice. Would... More"
40 Berkeley Hostel,"This basic spot is definitely worth it if you're travelling on a budget. The place Is large and has a very safe and friendly feel to it. The staff have good local knowledge and are more than happy to spend time with you to explain which sights to see, where to eat and how to get around. It's spotless and... More"
40 Berkeley Hostel,This was converted to a budget hotel with no sign of any investment to justify the prices. Beat up furniture in the room. Filthy hall carpets. Shared single sex bathrooms. No air conditioning. Super slow internet. I don't know if the Y is still involved. Someone is making a good profit.
40 Berkeley Hostel,You get what you pay for! It was fine for a stop over it was clean but basic! Rooms are small and quite warm. The staff were all very friendly and helped us plan our trip and we felt our things were safe in our rooms.
40 Berkeley Hostel,"Muy lindo el lugar, el personal muy buena onda."
40 Berkeley Hostel,"The first surprise was that the rooms do not have their own bathrooms. Be prepared to wander the halls of this place in your towel, and see others doing the same. The shared shower on my floor did not work, so I ended up walking down to another floor to shower. Also, there is no food at all in the... More"
40 Berkeley Hostel,"When we booked we thought it was a cheap hotel, with shared bath and toilet, but it is not a hotel, it is too basic with no tv in room, no aircon, or other things you expect in a hotel. Then we thought it was a hostel, but it is not that either, since the kitchen facilities are limited to... More"
40 Berkeley Hostel,Quiet hours are after 10pm
40 Berkeley Hostel,"I really want to like this place but I just couldn't. So, the service we got on check in was great! He was really helpful. Told us when we checked out that they could store our bags and we could hang around if we needed to both after checkout and before- since we arrived a couple of hrs before check... More"
40 Berkeley Hostel,"All in all a good and clean hostel. The rooms provided enough space. The sanitaries were clean for hostel standarts. Unfortunately we had a room with a very loud, clattering air conditioning below which wasn't that good for sleeping."
40 Berkeley Hostel,The hotel is centrally located close to the Bay Village Boston Common. Overall I was not disappointed by this hotel. We felt safe and close to everything we wanted to see. If you are lucky you might get a room with a great view like we did. Pros: Relatively cheap hotel 130 per night vs the 350 average in... More
40 Berkeley Hostel,Stay here.
40 Berkeley Hostel,"Paula was extremely friendly. Helped me and my friend find food at 3 in the morning after coming home from the bars. Overall a decent, cheap place that provided the basic necessities."
40 Berkeley Hostel,"The hostel is cool and offers good services such as pool tables, cinema rooms and a large lounge. However one of the two showers of my floor was broken and the corridors stink a little bit."
40 Berkeley Hostel,I was booked in this hostel for two nights. Room was so so and the bed was rough (well I did not expect anything good from it). I had a long day and found out I could not sleep well every night because of this. The bathroom was so far away from my room. The guy at the reception was... More
40 Berkeley Hostel,"My second time staying there, the location is great. But looks like is more like a nurse home, or I can't even describe, my last time staying there was just couple weeks ago, and not even breakfast they offer anymore. When u pay US 100.00 plus tax to be in a hostel where u have to share bathrooms u expect... More"
40 Berkeley Hostel,"Horrible experience at 40 Berkeley. The room was not clean, sheets severely stained and mattress in a plastic cover. The shared bathroom facilities were also very dirty and messy and did not seem to be cleaned on a regular basis. Due to no A.C. the room was incredibly hot. Although we had a ceiling fan which helped marginally, it was... More"
40 Berkeley Hostel,"Cheap as far as boston in concerned. Clean, good location, helpful staff. The heater wouldnt turn off though which was extreemly annoying. They gave us direction which we followed but it would not turn off. Bed was ok."
40 Berkeley Hostel,A good place to stay if you don't mind going down the hall for a bathroom. Definitely a 'student housing/hostel' type place but it's in a great neighborhood easy to get to from Back Bay T. Rooms very basic no AC.
40 Berkeley Hostel,"Had to stay overnight in Boston, because of flight schedule. Hotels were sold out or over 300 a nite, so we tried 40 Berkeley. This was our first hostel experience and other than no air and just a ceiling fan in hot weather, it went well. The room was clean, comfortable bed and soft sheets, and bathroom convenient and clean.... More"
40 Berkeley Hostel,"We had one night here. It was beyond our expectations. Very cosy atmosphere, spacious room, good service, clean overall, nice garden. Good location! A hidden gem in the city :-) We will recommend it for everyone and will absolut stay here another time in Boston."
40 Berkeley Hostel,"All in whole it was a great hostel! Very clean, which was important for us. Very nice facilities and quite central (about 15 Min walk to the very center). Also the staff is helpful and friendly. The only thing is that our room was quite old (the furniture and so on). But besides that: it's a great place to stay."
40 Berkeley Hostel,"Unfortunately I have to say that the staff was not very motivated and not helpful at all. When booking my stay, I asked for advice about parking as I was bringing a car. I never got an answer to that question. Two my email 3 days before my stay I also got no answer. Finally on the day of my... More"
40 Berkeley Hostel,"We stayed here for 3 nights in early august. I did not book this myself, but a hostel on itself isn't always that bad. We got a bit dissapointed though. I'll start with the positive things: the hostel is located close (5 mins walk) a large subway station, staff is VERY friendly and wifi (yet slow) is provided everywhere as... More"
40 Berkeley Hostel,great trip help at the hotel was great the workers answers all our questions all it needs new beds close to buses trains subways. it is in a great location to see the city of boston . The only things it needs is new mattress
40 Berkeley Hostel,"One of my friend recommended me to stay in this hostel. And here I am, when I first checked in, I love their spacious lobby area. They have many comfortable white couch around. They also provide the guest with common room, where you can chit-chat with other guest, play pool, watch movies, and get a snack from vending machine. For... More"
40 Berkeley Hostel,"Best way to make a reservation is directly on the 40Berkeley website rather than a 'third party' such as hostel-bookers which works out cheaper and more reliable. Rooms are very basic (bed, desk and storage space) with shared communal bathrooms. Helpful friendly staff on hand 24 hours. Free WiFi available, but no longer serves breakfast. Basic recreation room, coffee machine... More"
40 Berkeley Hostel,"It is clean and well enough located, close to train/metro lines and if you know which direction there are a couple of quite restaurants near by. The staff though may not know about them... make sure you consult google / yelp to find out what is around. WiFi is free, which is a great plus. There is a water station... More"
40 Berkeley Hostel,"Price value is not true, not clean, here is exploited, that there is no comparably priced accommodations in Boston! You sleeping on old camping beds with innerspring. Everything seemed dingy except the entrance area."
40 Berkeley Hostel,"This property is a little dated. it is after all a hostel so you get what you pay for. They do have some convenient features: pool tables, wifi, water filling station, and a wonderful outdoor lounging area. Rooms are average, but the shared bathrooms are pretty good. Many things in need of an update, but location is good."
40 Berkeley Hostel,"Went there for one night with friends and we booked a 4 bedroom's room for ourself. The location of the hostel is good and at the reception the stuff was fairly nice. However, the bedrooms are extremely basic and not very clean. Moreover, at night it gets extremely noisy and incredibly hot (the room had no air conditioning). Had difficulty... More"
40 Berkeley Hostel,So it's cheap and clean enough. The bathrooms are nicely remodeled. Our room felt very dorm-y and cold. They don't serve breakfast anymore. I literally think this place is half hostel/half nursing home. Very weird vibe in this place. I felt safe and it's waking distance to a lot of cool spots. But if you're a fan of hostels and... More
40 Berkeley Hostel,"The location is excellent. Back Bay is a very nice area and the hostel is close to the T station. The staff was always nice and helpful and our room was clean. It was pretty loud at night and early in the morning because our room was facing the street, but we still managed to sleep well most of the... More"
40 Berkeley Hostel,"Arrived just before midnight from Australia, and were greated with smiles. Small double room, great bed, totally clean,, bathroom across the hall. Close to everything including coffee and restaruants plus plus plus. Just being in the lobby and the garden is nice.We will go again."
40 Berkeley Hostel,Do not even try to eat the breakfast. Start your day right by finding something outside.
40 Berkeley Hostel,I stayed for a week at 40 Berkeley as I have to attend conference at Harvard. The room is reasonable. The breakfast is very good for a hostel. The subway is 5 mins walking distance. The chinatown is 2 stops away. Helpful staff.
40 Berkeley Hostel,"Room was cold, pillow sucked. Jack hammers and traffic on the street could be heard around the clock. Cleaners were steam cleaning carpets early in the morning which was so loud I couldn't sleep. Front desk staff were on their phones or talking amongst themselves rather than engaging with customers."
40 Berkeley Hostel,"Really recommend this hostel. Good amenities, nice staff. Neighbourhood is quiet and cute. Rooms are basic but clean. Affordable rates."
40 Berkeley Hostel,"This is a basic hostel, not a hotel. Therefore we knew when we booked it what we would be getting ourselves into. The reason we chose to stay at 40 Berkley was due to the fact all other hotels were either booked up or exorbitantly over priced. The room we a private room which a shared bathroom. The set up... More"
40 Berkeley Hostel,"I never fail to be shocked by the cost of staying in Boston, but the Berkeley Hostel was a nice find. I needed a spot for one night on my way through town and thats exactly what this provided. Expensive for a hostel, but when compared with other spots in Boston I guess its comparable. The room was simple and... More"
40 Berkeley Hostel,If you don't like the food down stairs they ALWAYS have burgers that they will cook to order just ask. It takes about 10-15 minutes though
40 Berkeley Hostel,"It's a hostel so we were not expecting much and that's what we got. Six days was a bit much to deal with a not great mattress and sub par water pressure in the shower. The location is great, walking distance to lots of great restaurants, bars and sights. Also close to transit. If we were to go back it... More"
