Hotel,Reviews
Ambassadors Inn and Suites,Relaxing. Nice and peaceful.
Ambassadors Inn and Suites,Room could use upgrades. It is not walking distance to beach.better to pay the extra to stay closer to beach and restaurants.
Ambassadors Inn and Suites,The hotel was great for our stay. It was a couples trip for beach week. The only things I didn't like was the cleanliness of the bathroom. And as a women that's a big part of staying in the hotel
Ambassadors Inn and Suites,"Not a bad stay , hotel could use a remodel. .nice to have a 24 hr restaurant on premises. .pool was nice as well. .I'd book again"
Ambassadors Inn and Suites,Musty smelling bathroom. Continental breakfast was a joke. Bananas were edible.
Ambassadors Inn and Suites,"Went to Virginia Beach to pick up our son from deployment. Checked into our hotel on Friday evening. Went to our room, which looked nice at first. Looked under the mattress only to find a bedbug. Manager tried to say it was a cockroach. They did offer to upgrade our room but I just wanted a refund. I only got refunded one night and lost my money for the second night. Definitely would not recommend staying there."
Ambassadors Inn and Suites,overpriced/older/bed ok/fridge grimy iced/brkf ended too early for a Sat am
Ambassadors Inn and Suites,"We atayed at the hotel from 7/3-7/6. The room was old, smelly, bathtub was broken, toilet seat was burned and the water presure was incosistent. Carpet was old and dirty. Room service came one time and just made our beds with all that was in our bed such as cheerios and baby's toys. They did not change our towels or clean the bathroom. Water in the pool was cold. Lot of noise around the pool did not make our stay relaxing. They charged 220 per night. It is such a shame to rip off hard working American people just bc they wanted to celebrate their most important holiday July 4th. This room is not worth 30. Would not recomend this hotel to anyone."
Ambassadors Inn and Suites,Refrigerators was rusted
Ambassadors Inn and Suites,Got a headache every time I went to the room. I think mold is in the walls. There were bugs in our beds. I didn't stay the second night that we had paid for.
Ambassadors Inn and Suites,Enjoyed my stay I will stay again
Ambassadors Inn and Suites,Would stay again
Ambassadors Inn and Suites,"This was a true nightmare. The add stated it was oceanfront, it wasnt! the front door would not lock. It had gray duct on the lock section, which was painted it over. It appeared to be a place for squatters. It was not safe. The furniture was old, outdated and it smelled. And we couldn't get a refund!"
Ambassadors Inn and Suites,"The Hotel staff were very friendly and accommodating. The rooms were fine. There was a mini fridge, microwave, hair dryer, and ironing board/iron. However the showers were awful. The water would get scalding hot and then ice cold. At first we thought it was because everyone was returning from the beach but it continued. The Hotel is in a great location-5 block walk to beach, boardwalk, restaurants, shops and entertainment. The pool was nice with not many people there. All in all experience was fine-I would probably return because the price was good and the only bad thing was the showers."
Ambassadors Inn and Suites,The door to our room was broke and didn't even shut and latch. We just pushed it open all the time. The guest service was disorganized at desk and not very friendly. The hotel needs a lot more maintanence.
Ambassadors Inn and Suites,"There is ample parking which is great because we would walk or ride our bikes to the beach everyday. We didn't move our car once. The bed was pretty comfortable and clean. The TV was nice and having a fridge and microwave was convenient. There were so many mirrors so there was no issue when getting ready. There was tons of counter space for toiletries inside and outside the bathroom. The bathroom needed and update and good cleaning, but nothing we couldn't handle. We actually booked another room to stay a night longer than expected and we were able to stay in the same room. It was a very easy process."
Ambassadors Inn and Suites,It suited us as needed a Simple accommodations with basic amenities. In process of renovation. Location was not ideal with no food or coffee had to drive to get one.
Ambassadors Inn and Suites,"The front desk personnel were great. I will return. Since I work in the travel business, I would recommend."
Ambassadors Inn and Suites,"The hotel charged additional fee for persons over 12 years old. The hotel did not provide facial tissues. The previous hotel guest left his watch in the room. He phoned back to ask us to look for the watch. When we found the watch, I informed the hotel staff and asked that they return the watch to the patron."
Ambassadors Inn and Suites,WiFi did not work well the entire stay.
Ambassadors Inn and Suites,"I hate reading reviews online because the negative ones are usually from people who usually don't travel a lot and are used to 5 star hotels. This hotel is great for location to the convention center and the beach. My husband and I stayed one night for a dance competition at the convention center. Service was decent, room was clean, and we felt safe in the neighborhood. It's literally 60 seconds from the convention center, so the location was perfect. Would definitely stay here again."
Ambassadors Inn and Suites,It was horrible the housekeeper was kept knocking on door after we asked her to clean the room after we left see goes to get manager he harassed us and threatened us cops were called it just was a mess rooms were smelly and hot i would not recommend this hotel to a dog
Ambassadors Inn and Suites,They had bed bugs badly
Ambassadors Inn and Suites,"Me and my boyfriend stayed at this hotel for two nights. I was hesitant at first from reading previous reviews.. but we had a delightful stay! We had a king size bed which was very comfortable. No issues checking in since we are 19. The room was clean, we got sick during our stay and threw up all over the bed and floor and room service had no problems cleaning everything up. Good distance from the beach.. not that close but a few blocks down. I would definitely stay here again."
Ambassadors Inn and Suites,"The front staff was very professional and courteous. The cleanliness of the room could have been better, but overall not bad. The neighborhood during The day is great for walking. At night I would not go walking without my husband."
Ambassadors Inn and Suites,I didn't mind it being out of date but the it not being clean and the insects was more than I could tolerate. The condition of one the beds was so bad it couldn't be slept in. Even before going to bed I canceled the rest of the reservation and couldn't wait to get out in the morning.
Ambassadors Inn and Suites,It was not comfortable at all. Room smelled like smoke.
Ambassadors Inn and Suites,"Not a quick walk to the beach, but clean and spacious room. Hotel very strict on their no cancellation policy if you choose that option. They did offer to look for something we left in the room and called us back with a response."
Ambassadors Inn and Suites,"All the staff was very friendly and the room was nicely cleaned every day with fresh towels, etc. The staff found my wife's gold earring while cleaning and placed it clearly on a table that we found on our return. Also, great, clean pool."
Ambassadors Inn and Suites,"Last min booking, it was hard to get the water hot. And when you did shower the rug in the room would get wet."
Ambassadors Inn and Suites,"The room was clean, that's the best I can say about it. The hotel is older and pretty shabby, absolutely plain, no decoration, no prettying up anywhere. Just very basic, very plain, not especially nice but not horrible. Overpriced, considering the bare-ness of the whole place."
Ambassadors Inn and Suites,they wouldn't except my service dog so I didn't stay. I got a cheaper price right on the beach. but other than that this hotel was a roach infested dump I wouldn't have stayed there even if they excepted my service animal.
Ambassadors Inn and Suites,"Good hotel for the price. Convenient location. Short walk to the beach and boardwalk. Friendly, accommodating and helpful staff."
